Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-05-08 00:00:00+05:30,1483.7673706679252,1486.7966307355505,1460.0303671411407,1468.6710205078125,746278,0.0,0.0,PIDILITIND.NS
2025-05-09 00:00:00+05:30,1457.4975970991507,1505.8160255027697,1456.007821020344,1479.84423828125,967480,0.0,0.0,PIDILITIND.NS
2025-05-12 00:00:00+05:30,1509.6397717576792,1532.234709131026,1502.1908913049274,1527.765380859375,731304,0.0,0.0,PIDILITIND.NS
2025-05-13 00:00:00+05:30,1530.4967375739543,1553.2902647615185,1522.799560600432,1539.7333984375,1159402,0.0,0.0,PIDILITIND.NS
2025-05-14 00:00:00+05:30,1539.9319067110475,1548.8705633768968,1535.9591704151144,1543.7060546875,1633730,0.0,0.0,PIDILITIND.NS
2025-05-15 00:00:00+05:30,1549.3671504650088,1561.682657190722,1540.4782015265673,1545.1461181640625,1373428,0.0,0.0,PIDILITIND.NS
2025-05-16 00:00:00+05:30,1550.8569589201327,1554.184101379091,1527.219129046462,1535.0653076171875,1219046,0.0,0.0,PIDILITIND.NS
2025-05-19 00:00:00+05:30,1536.4558018031123,1541.9183143499235,1520.5648562123883,1523.5941162109375,336888,0.0,0.0,PIDILITIND.NS
2025-05-20 00:00:00+05:30,1531.1918723022393,1531.3905818644143,1488.7829598985127,1491.1666259765625,707838,0.0,0.0,PIDILITIND.NS
2025-05-21 00:00:00+05:30,1491.7127503862587,1500.154814896058,1476.1198091399444,1482.923095703125,847478,0.0,0.0,PIDILITIND.NS
2025-05-22 00:00:00+05:30,1490.0741819326618,1492.904732423586,1472.991342346305,1487.044921875,518324,0.0,0.0,PIDILITIND.NS
2025-05-23 00:00:00+05:30,1487.04486672927,1510.2356907956064,1476.8150221896647,1505.51806640625,361932,0.0,0.0,PIDILITIND.NS
2025-05-26 00:00:00+05:30,1514.1091198855397,1524.984436993862,1506.5112374764358,1512.2220458984375,323458,0.0,0.0,PIDILITIND.NS
2025-05-27 00:00:00+05:30,1512.2221252961294,1515.9962734684914,1494.7421089343243,1503.482177734375,463006,0.0,0.0,PIDILITIND.NS
2025-05-28 00:00:00+05:30,1501.1977299070882,1505.1704662085294,1485.8033767390036,1490.272705078125,616064,0.0,0.0,PIDILITIND.NS
2025-05-29 00:00:00+05:30,1491.4149464725622,1512.1228109662138,1491.4149464725622,1504.475341796875,501998,0.0,0.0,PIDILITIND.NS
2025-05-30 00:00:00+05:30,1504.4752731322733,1552.8432886981009,1497.8208671406412,1543.0107421875,3308300,0.0,0.0,PIDILITIND.NS
2025-06-02 00:00:00+05:30,1551.3535388858668,1557.163641528402,1521.3594280506115,1529.602783203125,837390,0.0,0.0,PIDILITIND.NS
2025-06-03 00:00:00+05:30,1538.4421336033722,1547.1324942676908,1528.2619968251704,1537.4986572265625,644732,0.0,0.0,PIDILITIND.NS
2025-06-04 00:00:00+05:30,1537.4987383286716,1544.7986174241053,1529.6028517656134,1537.1014404296875,920830,0.0,0.0,PIDILITIND.NS
2025-06-05 00:00:00+05:30,1537.15098450053,1548.920313087082,1510.732311663683,1516.19482421875,823882,0.0,0.0,PIDILITIND.NS
2025-06-06 00:00:00+05:30,1525.2824930449383,1525.9776734248485,1509.6398433523075,1514.5064697265625,316076,0.0,0.0,PIDILITIND.NS
2025-06-09 00:00:00+05:30,1510.6329675964405,1523.147062606978,1497.2249826769455,1517.4859619140625,473532,0.0,0.0,PIDILITIND.NS
2025-06-10 00:00:00+05:30,1527.5171058192966,1538.5911324921076,1524.686555456041,1529.1558837890625,391672,0.0,0.0,PIDILITIND.NS
2025-06-11 00:00:00+05:30,1523.6933423559083,1529.5034448304964,1516.5920521143948,1519.6708984375,470824,0.0,0.0,PIDILITIND.NS
2025-06-12 00:00:00+05:30,1518.6777986499424,1524.6369033111062,1504.5249250796783,1513.0662841796875,749758,0.0,0.0,PIDILITIND.NS
2025-06-13 00:00:00+05:30,1479.8442792077283,1499.3603706274885,1430.185075207469,1495.9835205078125,766960,0.0,0.0,PIDILITIND.NS
2025-06-16 00:00:00+05:30,1491.5142562922915,1510.3847546239401,1487.2932237707385,1489.1802978515625,359522,0.0,0.0,PIDILITIND.NS
2025-06-17 00:00:00+05:30,1491.4644754369438,1501.595025734762,1483.8170065624267,1498.86376953125,528290,0.0,0.0,PIDILITIND.NS
2025-06-18 00:00:00+05:30,1491.3156323407452,1499.6582817816657,1471.402242660585,1473.9844970703125,414844,0.0,0.0,PIDILITIND.NS
2025-06-19 00:00:00+05:30,1470.9553432729226,1479.5462886507614,1466.4363071733803,1473.53759765625,184626,0.0,0.0,PIDILITIND.NS
2025-06-20 00:00:00+05:30,1471.402266780507,1480.6389275478864,1462.0663118492591,1467.975830078125,1044968,0.0,0.0,PIDILITIND.NS
2025-06-23 00:00:00+05:30,1456.6038182977222,1468.4227336719944,1455.809343738071,1465.790771484375,180832,0.0,0.0,PIDILITIND.NS
2025-06-24 00:00:00+05:30,1491.7625171977115,1503.879314714253,1483.4694542159423,1490.9183349609375,614098,0.0,0.0,PIDILITIND.NS
2025-06-25 00:00:00+05:30,1493.2522323448206,1506.8092189945446,1474.630031243081,1492.7059326171875,1473846,0.0,0.0,PIDILITIND.NS
2025-06-26 00:00:00+05:30,1489.279574645592,1502.1909680903352,1488.931984454354,1499.7080078125,450772,0.0,0.0,PIDILITIND.NS
2025-06-27 00:00:00+05:30,1499.7080072638178,1521.7070595650487,1497.8706409065508,1515.449951171875,612710,0.0,0.0,PIDILITIND.NS
2025-06-30 00:00:00+05:30,1515.5988770362171,1525.381715789088,1507.2065202163583,1516.7906494140625,340086,0.0,0.0,PIDILITIND.NS
2025-07-01 00:00:00+05:30,1516.5920499035035,1531.3905165503504,1506.2629114980225,1512.52001953125,483880,0.0,0.0,PIDILITIND.NS
2025-07-02 00:00:00+05:30,1502.240694368901,1530.0001421230727,1497.5230697826726,1527.815185546875,387752,0.0,0.0,PIDILITIND.NS
2025-07-03 00:00:00+05:30,1536.9523197553153,1551.3037808047268,1533.0292912470545,1546.6358642578125,781166,0.0,0.0,PIDILITIND.NS
2025-07-04 00:00:00+05:30,1551.7508367670425,1551.8004232282574,1518.6281718201787,1529.602783203125,420752,0.0,0.0,PIDILITIND.NS
2025-07-07 00:00:00+05:30,1530.0498179546944,1537.2006949990266,1502.8365492922571,1525.7293701171875,519264,0.0,0.0,PIDILITIND.NS
2025-07-08 00:00:00+05:30,1527.0205578799337,1531.9367706929127,1512.3710923653132,1523.3458251953125,449486,0.0,0.0,PIDILITIND.NS
2025-07-09 00:00:00+05:30,1513.1657104569472,1529.9504250492266,1504.1276379985868,1513.7615966796875,693860,0.0,0.0,PIDILITIND.NS
2025-07-10 00:00:00+05:30,1514.6057815231807,1531.4899115467178,1511.626229166086,1522.1043701171875,644522,0.0,0.0,PIDILITIND.NS
2025-07-11 00:00:00+05:30,1519.5716873031174,1524.4879001490744,1485.0585395032592,1490.1734619140625,336992,0.0,0.0,PIDILITIND.NS
2025-07-14 00:00:00+05:30,1490.123727620004,1490.123727620004,1459.9806146868825,1472.097412109375,737312,0.0,0.0,PIDILITIND.NS
2025-07-15 00:00:00+05:30,1474.828623432429,1491.3155758417613,1472.8919630080777,1488.8822021484375,249360,0.0,0.0,PIDILITIND.NS
2025-07-16 00:00:00+05:30,1488.8326447045347,1490.3224208256206,1475.4246596147616,1483.8170166015625,484312,0.0,0.0,PIDILITIND.NS
2025-07-17 00:00:00+05:30,1483.8170225483523,1494.7420474801004,1479.0993981460065,1485.952392578125,308510,0.0,0.0,PIDILITIND.NS
2025-07-18 00:00:00+05:30,1485.8034161694195,1487.5414883474252,1464.698254007922,1468.968994140625,630918,0.0,0.0,PIDILITIND.NS
2025-07-21 00:00:00+05:30,1469.8626928272813,1483.0720892462361,1468.919216470908,1472.445068359375,417914,0.0,0.0,PIDILITIND.NS
2025-07-22 00:00:00+05:30,1472.395375555802,1482.0789201842465,1454.5180623955966,1457.1500244140625,340602,0.0,0.0,PIDILITIND.NS
2025-07-23 00:00:00+05:30,1460.0,1464.449951171875,1450.050048828125,1459.449951171875,487406,10.0,0.0,PIDILITIND.NS
2025-07-24 00:00:00+05:30,1465.4000244140625,1471.0,1446.5,1453.949951171875,242040,0.0,0.0,PIDILITIND.NS
2025-07-25 00:00:00+05:30,1453.949951171875,1455.0,1437.5,1444.800048828125,368204,0.0,0.0,PIDILITIND.NS
2025-07-28 00:00:00+05:30,1434.550048828125,1452.949951171875,1429.75,1439.4000244140625,484778,0.0,0.0,PIDILITIND.NS
2025-07-29 00:00:00+05:30,1435.0,1449.0,1428.9000244140625,1446.449951171875,328764,0.0,0.0,PIDILITIND.NS
2025-07-30 00:00:00+05:30,1447.9000244140625,1450.199951171875,1431.0,1437.050048828125,499792,0.0,0.0,PIDILITIND.NS
2025-07-31 00:00:00+05:30,1430.5,1442.25,1422.800048828125,1434.9000244140625,377956,0.0,0.0,PIDILITIND.NS
2025-08-01 00:00:00+05:30,1430.0,1442.5,1425.5,1429.449951171875,409566,0.0,0.0,PIDILITIND.NS
2025-08-04 00:00:00+05:30,1442.5,1488.0,1433.050048828125,1475.9000244140625,817016,0.0,0.0,PIDILITIND.NS
2025-08-05 00:00:00+05:30,1483.199951171875,1513.75,1475.5,1498.800048828125,1155166,0.0,0.0,PIDILITIND.NS
2025-08-06 00:00:00+05:30,1513.0,1529.0,1486.550048828125,1520.9000244140625,1638232,0.0,0.0,PIDILITIND.NS
2025-08-07 00:00:00+05:30,1528.5,1558.949951171875,1511.4000244140625,1525.4000244140625,2353820,0.0,0.0,PIDILITIND.NS
2025-08-08 00:00:00+05:30,1534.0,1544.699951171875,1517.5,1540.6500244140625,1275428,0.0,0.0,PIDILITIND.NS
2025-08-11 00:00:00+05:30,1549.5,1550.5,1532.5,1548.4000244140625,648830,0.0,0.0,PIDILITIND.NS
2025-08-12 00:00:00+05:30,1550.0,1557.050048828125,1541.1500244140625,1550.75,598262,0.0,0.0,PIDILITIND.NS
2025-08-13 00:00:00+05:30,1550.050048828125,1552.449951171875,1527.550048828125,1530.949951171875,511880,0.0,0.0,PIDILITIND.NS
2025-08-14 00:00:00+05:30,1530.550048828125,1546.6500244140625,1527.550048828125,1542.699951171875,772046,0.0,0.0,PIDILITIND.NS
2025-08-18 00:00:00+05:30,1562.5,1562.5,1533.6500244140625,1538.449951171875,511870,0.0,0.0,PIDILITIND.NS
2025-08-19 00:00:00+05:30,1538.449951171875,1556.0,1538.0,1547.5999755859375,569624,0.0,0.0,PIDILITIND.NS
2025-08-20 00:00:00+05:30,1546.4000244140625,1554.0,1540.0,1542.300048828125,153754,0.0,0.0,PIDILITIND.NS
2025-08-21 00:00:00+05:30,1543.5,1552.4000244140625,1536.5999755859375,1539.5,236826,0.0,0.0,PIDILITIND.NS
2025-08-22 00:00:00+05:30,1539.5,1553.4000244140625,1533.6500244140625,1543.5999755859375,715582,0.0,0.0,PIDILITIND.NS
2025-08-25 00:00:00+05:30,1549.5,1568.0,1544.949951171875,1553.5,731340,0.0,0.0,PIDILITIND.NS
2025-08-26 00:00:00+05:30,1557.5,1572.0,1537.550048828125,1550.199951171875,1389672,0.0,0.0,PIDILITIND.NS
2025-08-28 00:00:00+05:30,1530.0,1552.0999755859375,1526.3499755859375,1531.449951171875,372480,0.0,0.0,PIDILITIND.NS
2025-08-29 00:00:00+05:30,1525.5,1535.0,1513.550048828125,1525.1500244140625,654086,0.0,0.0,PIDILITIND.NS
2025-09-01 00:00:00+05:30,1534.4000244140625,1568.1500244140625,1528.050048828125,1562.699951171875,482682,0.0,0.0,PIDILITIND.NS
2025-09-02 00:00:00+05:30,1561.4000244140625,1572.1500244140625,1558.550048828125,1563.5,370084,0.0,0.0,PIDILITIND.NS
2025-09-03 00:00:00+05:30,1570.0,1574.949951171875,1552.699951171875,1556.0,433852,0.0,0.0,PIDILITIND.NS
2025-09-04 00:00:00+05:30,1562.5,1574.9000244140625,1550.0,1559.550048828125,860810,0.0,0.0,PIDILITIND.NS
2025-09-05 00:00:00+05:30,1570.0,1570.0,1545.550048828125,1547.550048828125,224508,0.0,0.0,PIDILITIND.NS
2025-09-08 00:00:00+05:30,1547.0,1561.0,1540.5,1551.9000244140625,217014,0.0,0.0,PIDILITIND.NS
2025-09-09 00:00:00+05:30,1551.9000244140625,1567.449951171875,1546.199951171875,1550.050048828125,615658,0.0,0.0,PIDILITIND.NS
2025-09-10 00:00:00+05:30,1557.449951171875,1562.5,1531.25,1535.300048828125,338108,0.0,0.0,PIDILITIND.NS
2025-09-11 00:00:00+05:30,1535.3499755859375,1542.449951171875,1527.5,1539.9000244140625,307008,0.0,0.0,PIDILITIND.NS
2025-09-12 00:00:00+05:30,1544.949951171875,1554.449951171875,1537.699951171875,1539.449951171875,388750,0.0,0.0,PIDILITIND.NS
2025-09-15 00:00:00+05:30,1544.449951171875,1551.0,1533.050048828125,1537.050048828125,366894,0.0,0.0,PIDILITIND.NS
2025-09-16 00:00:00+05:30,1538.75,1545.0,1527.550048828125,1537.0,424184,0.0,0.0,PIDILITIND.NS
2025-09-17 00:00:00+05:30,1545.0,1545.0,1526.4000244140625,1531.0,491174,0.0,0.0,PIDILITIND.NS
2025-09-18 00:00:00+05:30,1531.0,1543.800048828125,1523.5,1527.0999755859375,1191302,0.0,0.0,PIDILITIND.NS
2025-09-19 00:00:00+05:30,1535.699951171875,1539.0,1520.3499755859375,1524.1500244140625,826712,0.0,0.0,PIDILITIND.NS
2025-09-22 00:00:00+05:30,1532.0,1539.0,1512.5,1519.0,736500,0.0,0.0,PIDILITIND.NS
2025-09-23 00:00:00+05:30,1534.0,1535.699951171875,1482.699951171875,1489.300048828125,810500,0.0,2.0,PIDILITIND.NS
2025-09-24 00:00:00+05:30,1489.300048828125,1521.699951171875,1475.0,1519.5,540982,0.0,0.0,PIDILITIND.NS
2025-09-25 00:00:00+05:30,1517.5999755859375,1518.5,1490.0,1495.699951171875,554053,0.0,0.0,PIDILITIND.NS
2025-09-26 00:00:00+05:30,1485.0,1498.0,1472.0,1474.800048828125,731234,0.0,0.0,PIDILITIND.NS
2025-09-29 00:00:00+05:30,1479.0,1486.199951171875,1459.800048828125,1466.800048828125,984535,0.0,0.0,PIDILITIND.NS
2025-09-30 00:00:00+05:30,1470.0,1476.300048828125,1455.9000244140625,1468.0,722168,0.0,0.0,PIDILITIND.NS
2025-10-01 00:00:00+05:30,1468.9000244140625,1479.5999755859375,1448.9000244140625,1475.4000244140625,888183,0.0,0.0,PIDILITIND.NS
2025-10-03 00:00:00+05:30,1475.5999755859375,1493.5999755859375,1471.300048828125,1489.5999755859375,778524,0.0,0.0,PIDILITIND.NS
