Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-05-08 00:00:00+05:30,3738.5000673225563,3744.2976895515394,3648.3469944807,3672.310546875,739365,0.0,0.0,HEROMOTOCO.NS
2025-05-09 00:00:00+05:30,3609.019966901425,3764.686223691566,3609.019966901425,3723.909423828125,859973,0.0,0.0,HEROMOTOCO.NS
2025-05-12 00:00:00+05:30,3797.3458520356517,3864.5983644924227,3778.1171659370852,3850.49072265625,547435,0.0,0.0,HEROMOTOCO.NS
2025-05-13 00:00:00+05:30,3864.115216576569,3960.1623971648933,3824.0149961494803,3926.536376953125,1197629,0.0,0.0,HEROMOTOCO.NS
2025-05-14 00:00:00+05:30,3932.720496857872,3969.2453289639548,3800.3414531061453,3930.014892578125,1199813,0.0,0.0,HEROMOTOCO.NS
2025-05-15 00:00:00+05:30,3945.282183774386,4200.377578463693,3930.0150637292313,4179.11962890625,2629014,0.0,0.0,HEROMOTOCO.NS
2025-05-16 00:00:00+05:30,4183.950627327885,4215.837548968028,4149.454587010688,4198.734375,765257,0.0,0.0,HEROMOTOCO.NS
2025-05-19 00:00:00+05:30,4177.28343107129,4304.347981689417,4177.28343107129,4239.70458984375,753807,0.0,0.0,HEROMOTOCO.NS
2025-05-20 00:00:00+05:30,4260.286289066039,4287.535303681332,4088.6765678182023,4098.53271484375,842529,0.0,0.0,HEROMOTOCO.NS
2025-05-21 00:00:00+05:30,4097.953108484377,4144.237370145699,4069.9312645452005,4119.98388671875,396931,0.0,0.0,HEROMOTOCO.NS
2025-05-22 00:00:00+05:30,4106.648803098291,4139.501993523077,4061.137377294561,4132.0615234375,394809,0.0,0.0,HEROMOTOCO.NS
2025-05-23 00:00:00+05:30,4144.237133209046,4188.782294183121,4132.158752891332,4163.4658203125,461297,0.0,0.0,HEROMOTOCO.NS
2025-05-26 00:00:00+05:30,4164.528504197414,4269.272116205031,4154.962522055486,4212.35888671875,765160,0.0,0.0,HEROMOTOCO.NS
2025-05-27 00:00:00+05:30,4223.084857462896,4227.336352935315,4154.96279306497,4191.87451171875,411809,0.0,0.0,HEROMOTOCO.NS
2025-05-28 00:00:00+05:30,4220.669121019912,4235.549590866292,4165.1085728379885,4215.06494140625,424160,0.0,0.0,HEROMOTOCO.NS
2025-05-29 00:00:00+05:30,4236.129523754872,4236.129523754872,4185.980183289919,4209.65380859375,369150,0.0,0.0,HEROMOTOCO.NS
2025-05-30 00:00:00+05:30,4195.160038551009,4232.264730870259,4144.6238090199995,4163.94921875,914311,0.0,0.0,HEROMOTOCO.NS
2025-06-02 00:00:00+05:30,4164.722264942947,4173.032284983815,4054.4707147760378,4089.546142578125,771163,0.0,0.0,HEROMOTOCO.NS
2025-06-03 00:00:00+05:30,4106.649006121556,4136.120251930193,4059.301758756861,4066.6455078125,417447,0.0,0.0,HEROMOTOCO.NS
2025-06-04 00:00:00+05:30,4070.897430775388,4097.6633111289675,4049.9291731573057,4058.915771484375,353642,0.0,0.0,HEROMOTOCO.NS
2025-06-05 00:00:00+05:30,4085.198040649598,4085.198040649598,4032.053165628172,4037.947509765625,394746,0.0,0.0,HEROMOTOCO.NS
2025-06-06 00:00:00+05:30,4047.7066319759692,4151.967111877224,4017.8489715213964,4124.0419921875,551467,0.0,0.0,HEROMOTOCO.NS
