Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-05-08 00:00:00+05:30,1333.5122470928063,1360.2820321698568,1310.0265333055384,1326.6456298828125,5077662,0.0,0.0,ADANIPORTS.NS
2025-05-09 00:00:00+05:30,1293.7059173682228,1318.4853857736734,1286.3417209273443,1299.9754638671875,2979366,0.0,0.0,ADANIPORTS.NS
2025-05-12 00:00:00+05:30,1353.415440653582,1368.3428168372611,1338.9856436760253,1355.5052490234375,3662785,0.0,0.0,ADANIPORTS.NS
2025-05-13 00:00:00+05:30,1354.012463037518,1385.160968819839,1340.5778249521143,1362.57080078125,3356599,0.0,0.0,ADANIPORTS.NS
2025-05-14 00:00:00+05:30,1373.3185753848668,1375.20940061785,1355.405724401586,1365.1583251953125,1557379,0.0,0.0,ADANIPORTS.NS
2025-05-15 00:00:00+05:30,1368.939780818734,1403.073760288198,1365.2577435723251,1399.3916015625,3706424,0.0,0.0,ADANIPORTS.NS
2025-05-16 00:00:00+05:30,1404.0689918528594,1418.0012092642976,1394.2168995303407,1400.5859375,2777119,0.0,0.0,ADANIPORTS.NS
2025-05-19 00:00:00+05:30,1400.6854379192648,1403.770404641203,1385.2604828302783,1391.530029296875,1317210,0.0,0.0,ADANIPORTS.NS
2025-05-20 00:00:00+05:30,1392.2265449066854,1400.4864078820515,1374.7117820757692,1377.896240234375,2970441,0.0,0.0,ADANIPORTS.NS
2025-05-21 00:00:00+05:30,1373.3185360766447,1384.2652780308788,1363.5659355620646,1377.896240234375,1993690,0.0,0.0,ADANIPORTS.NS
2025-05-22 00:00:00+05:30,1373.4180833935823,1401.183027046398,1352.0221777959277,1364.76025390625,3186493,0.0,0.0,ADANIPORTS.NS
2025-05-23 00:00:00+05:30,1376.4035461688645,1391.7290096847053,1368.3427874983695,1388.64404296875,1715309,0.0,0.0,ADANIPORTS.NS
2025-05-26 00:00:00+05:30,1389.0420547993251,1403.7703252932338,1388.0468964627385,1393.420654296875,1024835,0.0,0.0,ADANIPORTS.NS
2025-05-27 00:00:00+05:30,1390.2362753479333,1412.129759999082,1378.6924622822778,1397.4013671875,2571237,0.0,0.0,ADANIPORTS.NS
2025-05-28 00:00:00+05:30,1398.1975068241718,1420.8871662027864,1396.207190088479,1404.16845703125,2035398,0.0,0.0,ADANIPORTS.NS
2025-05-29 00:00:00+05:30,1414.120003112428,1434.0231699401893,1403.6708405278534,1431.634765625,1662886,0.0,0.0,ADANIPORTS.NS
2025-05-30 00:00:00+05:30,1435.018323155412,1450.4432773918259,1421.88228168773,1425.8629150390625,2575127,0.0,0.0,ADANIPORTS.NS
2025-06-02 00:00:00+05:30,1425.8629307682531,1474.8246729380428,1418.39924315217,1460.8924560546875,3164701,0.0,0.0,ADANIPORTS.NS
2025-06-03 00:00:00+05:30,1462.8827777314712,1464.8730944358679,1419.7923724895693,1425.3653564453125,3677200,0.0,0.0,ADANIPORTS.NS
2025-06-04 00:00:00+05:30,1425.3654393450756,1434.1227604661747,1416.2099090847878,1429.2464599609375,1446972,0.0,0.0,ADANIPORTS.NS
2025-06-05 00:00:00+05:30,1436.8096494175065,1460.5938363868227,1431.0376824958357,1449.6470947265625,2019939,0.0,0.0,ADANIPORTS.NS
2025-06-06 00:00:00+05:30,1449.6472087950817,1471.7397984081272,1446.6617335619108,1464.5745849609375,1269864,0.0,0.0,ADANIPORTS.NS
2025-06-09 00:00:00+05:30,1474.8247102400528,1476.815026988015,1456.0161926759506,1459.996826171875,1493331,0.0,0.0,ADANIPORTS.NS
2025-06-10 00:00:00+05:30,1464.873095084471,1486.766578842527,1462.683795300382,1466.6644287109375,2125187,0.0,0.0,ADANIPORTS.NS
2025-06-11 00:00:00+05:30,1466.6644122499329,1468.8537120094504,1441.7854537131873,1449.3486328125,2192673,0.0,0.0,ADANIPORTS.NS
2025-06-12 00:00:00+05:30,1452.732266287877,1458.5041120621972,1433.1275731176486,1438.800048828125,2192452,0.0,0.0,ADANIPORTS.NS
2025-06-13 00:00:00+05:30,1405.0,1423.800048828125,1397.0999755859375,1405.0,3380550,7.0,0.0,ADANIPORTS.NS
2025-06-16 00:00:00+05:30,1389.0,1411.199951171875,1375.0,1400.5999755859375,2823300,0.0,0.0,ADANIPORTS.NS
2025-06-17 00:00:00+05:30,1400.5,1414.800048828125,1384.0,1392.300048828125,1571621,0.0,0.0,ADANIPORTS.NS
