,INFY.NS,HDFCBANK.NS,TCS.NS,RELIANCE.NS,ADANIENT.NS,ICICIBANK.NS
INFY.NS,1.0,0.24815573213863,0.798469860531245,0.2522227837903271,0.1848431966663686,0.17622335740878373
HDFCBANK.NS,0.24815573213863,1.0,0.27963570633489926,0.4003968299742273,0.49551888678219813,0.6348563854538268
TCS.NS,0.798469860531245,0.27963570633489926,1.0,0.26536290855003025,0.2314686904821504,0.17984613925731427
RELIANCE.NS,0.2522227837903271,0.4003968299742273,0.26536290855003025,1.0,0.39673984604261464,0.15833116222637278
ADANIENT.NS,0.1848431966663686,0.49551888678219813,0.2314686904821504,0.39673984604261464,1.0,0.42379132804051095
ICICIBANK.NS,0.17622335740878373,0.6348563854538268,0.17984613925731427,0.15833116222637278,0.42379132804051095,1.0
